사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,3호선,65,녹번,36,2,8720,712,21785,5527,61550,7132,70647,17344,37886,9351,22283,8184,17876,8959,18437,10482,17451,11512,15111,13094,14129,15971,15597,21181,17588,30179,18743,55874,8688,48059,6210,27017,5402,24320,3942,19851,1053,11969,0,85,2,3,0,1,0,0
2020-11,3호선,66,홍제,74,4,8556,1413,19615,9632,57010,10652,67819,24474,38614,17506,26632,16410,24193,15304,25815,17539,24419,19343,22605,20850,22652,25407,26125,29415,28425,37171,26118,58436,13733,47952,10098,26604,8698,25632,5682,18827,1754,12763,1,0,0,0,0,0,0,0
2020-11,3호선,67,무악재,19,1,1568,403,4582,2249,13944,2918,16244,5760,9243,3226,6104,3054,5574,3262,5139,3402,5028,3850,4258,4306,4171,5258,5311,6543,5668,8617,6025,14510,2597,12122,1962,7182,1722,6635,1321,5590,448,3507,0,4,0,0,0,0,0,0
2020-11,3호선,68,독립문,63,2,4565,626,5399,5150,14763,13487,18717,21384,12962,14661,10835,12429,10807,10179,11910,9654,11539,10919,12037,9727,13183,10300,14950,11121,13824,13199,15472,17053,6948,13039,4797,8042,3813,7133,2658,5973,597,3719,3,3150,1,1,1,0,0,0
2020-11,3호선,69,경복궁(정부서울청사),63,0,2478,1336,4848,12727,11958,39632,18237,104964,17291,55415,13315,34758,15100,29447,17956,28135,22926,30487,27435,27073,34885,22117,45267,22891,62228,25840,93686,31089,38363,20682,31910,10701,31792,9005,18677,7528,5572,5009,1,196,0,1,1,0,0,0
2020-11,3호선,70,안국,14,3,1536,1434,2801,18192,5204,90459,8126,100714,7148,56547,7666,34317,12321,35347,17626,31972,20493,34166,26100,30559,38274,24918,46740,21766,99761,21356,103415,20787,41588,9875,31293,5016,29235,4173,15231,3413,3801,2245,0,42,0,0,1,0,0,0
2020-11,3호선,71,종로3가,17,0,558,843,1118,5038,1601,13119,2149,43304,3151,42923,4930,28946,6956,21120,8514,20402,10241,19692,12287,19635,15817,17265,18627,14467,29476,14408,51045,14290,29411,7718,15395,3528,15517,2876,10515,1993,3935,1449,6,202,0,0,1,1,0,0
2020-11,3호선,72,을지로3가,8,0,647,967,920,7525,1768,30569,2986,71399,3802,34454,4674,15555,6532,12342,7428,11131,9364,11954,11609,10654,13285,10306,16731,9333,35776,10827,61085,12975,25887,6536,16300,2997,15392,2166,11038,1412,4402,1174,3,98,0,1,0,0,0,0
2020-11,3호선,73,충무로,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,2,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0
2020-11,3호선,74,동대입구,22,2,1550,1142,1975,8633,4907,13778,6810,46599,5511,25367,4951,17450,5761,14030,8508,12295,8837,13027,11903,12090,13141,9858,17860,8657,34356,10343,32211,11356,14837,6528,10408,3673,12453,4140,9147,3243,2423,2198,5,329,0,1,1,0,0,0
2020-11,3호선,75,약수,95,12,5664,1022,9169,5884,23910,14664,37113,33731,24511,20029,16971,13356,15937,13393,17515,14549,17676,14485,17386,15523,18798,17309,20129,20763,24490,26784,31892,39450,17471,26542,13721,17006,13134,15774,9383,12697,3415,7402,2,1961,0,0,0,0,0,0
2020-11,3호선,76,금호,33,8,4424,521,9017,2746,25179,4571,34913,8364,21140,6847,13201,5907,11413,6195,11245,7500,11021,8490,9643,9571,9633,11670,10152,13906,11182,19671,11071,29310,7029,21726,5293,14044,4661,12486,3147,9982,1140,5359,0,0,0,1,0,0,0,0
2020-11,3호선,77,옥수,207,19,2665,974,8518,3921,21796,7881,30286,14926,19483,10057,12961,7846,11813,8697,12339,9836,13227,11480,12557,11661,12857,14382,14456,16555,16553,22590,16651,33131,10591,24099,7754,15083,7210,14239,4637,11777,1769,5912,46,694,0,0,0,0,0,0
2020-11,3호선,78,압구정,47,0,2719,2089,6937,20369,14822,42531,22702,132280,17417,143578,20269,68369,25675,51622,31210,42726,34036,47749,41490,44460,49974,40245,60110,40057,80594,48129,128478,56067,91042,31991,70774,14412,52176,11259,34732,8676,8465,4236,10,1367,0,0,0,0,0,0
2020-11,3호선,79,신사,35,5,3126,1375,5759,18238,9814,40528,17690,106369,13339,128198,15358,64965,20778,43724,24879,44154,29775,47899,36226,46478,45210,44219,56047,44229,83801,51309,131023,69183,91768,38316,61401,16041,65937,11690,48294,7746,15627,5524,2,259,0,0,0,0,0,0
2020-11,3호선,80,잠원,1,1,945,437,3798,4693,10669,7929,15397,10120,9528,7181,6301,4713,6456,4981,7137,5945,7152,6560,6215,5997,7288,6682,8795,7178,10643,9513,9866,14153,6064,10054,3992,5928,4128,5341,2750,5103,652,3055,0,25,0,0,0,0,0,0
2020-11,3호선,81,고속터미널,118,1,4648,3159,6377,27576,21795,41996,38560,67575,40078,85908,39134,74161,49061,77846,60275,74812,66309,77804,72573,79573,83560,84762,93354,83063,111239,90102,119643,103680,99228,63866,110780,36840,66744,28067,39791,17813,11345,10821,6,344,0,0,0,0,1,0
